Period,Establishment Name
"July 1, 2011 - June 30, 2012","*A1 RADIATOR EXPRESS & AUTO REPAIR, INC."
"July 1, 2011 - June 30, 2012",*ADELPHIA CONTAINER CORP.
"July 1, 2011 - June 30, 2012","ALSCO JEWELRY OF NEW YORK, INC."
"July 1, 2011 - June 30, 2012",*AMERICO IZZO
"July 1, 2011 - June 30, 2012","APEXX OMNI-GRAPHICS, INC."
"July 1, 2011 - June 30, 2012","*ARCHITECTURAL COATINGS, INC."
"July 1, 2011 - June 30, 2012","ATLANTIS JEWELRY CONTRACTORS, INC."
"July 1, 2011 - June 30, 2012",*B & M LINEN CORP.
"July 1, 2011 - June 30, 2012","BNNS CO., INC."
"July 1, 2011 - June 30, 2012",BRILLIANT JEWELERS/MJJ INC.
"July 1, 2011 - June 30, 2012",CARVIN FRENCH JEWELERS INC.
"July 1, 2011 - June 30, 2012",CONTROL ELECTROPOLISHING CORP.
"July 1, 2011 - June 30, 2012","*DIVERSIFIED HEAT TRANSFER, INC."
"July 1, 2011 - June 30, 2012",*ELDORADO FINISHING INC.
"July 1, 2011 - June 30, 2012","FAM CREATIONS, INC."
"July 1, 2011 - June 30, 2012",G & J SETTING CORP.
"July 1, 2011 - June 30, 2012",HALMARK ARCHITECTURAL FINISHING CORP.
"July 1, 2011 - June 30, 2012",HAROLD HOWARD SCOTT
"July 1, 2011 - June 30, 2012","JAMES PITTA JEWELRY POLISHING, INC."
"July 1, 2011 - June 30, 2012","*JERRY'S AUTO RADIATOR, INC."
"July 1, 2011 - June 30, 2012",JP JEWELRY CORPORATION
"July 1, 2011 - June 30, 2012","*LEO INGWER, INC."
"July 1, 2011 - June 30, 2012","*LES ATELIERS DE VAN CLEEF & ARPELS, INC."
"July 1, 2011 - June 30, 2012",*M & A JEWELRY POLISHING CORP.
"July 1, 2011 - June 30, 2012",MAZZA/BARTHOLOMEW LTD.
"July 1, 2011 - June 30, 2012","*NEW RADIATOR, INC."
"July 1, 2011 - June 30, 2012",*NEW YORK LAB INC.
"July 1, 2011 - June 30, 2012",NYC DEPARTMENT OF EDUCATION
"July 1, 2011 - June 30, 2012","PARALLEL PRODUCTS OF NEW ENGLAND, INC."
"July 1, 2011 - June 30, 2012","PERRIGO NEW YORK, INC."
"July 1, 2011 - June 30, 2012",PETROLEUM TANK CLEANERS LTD.
"July 1, 2011 - June 30, 2012","*RAM JEWELRY, INC."
"July 1, 2011 - June 30, 2012","REGAL EMBLEM CO., INC."
"July 1, 2011 - June 30, 2012","RIVIERA GOLD, INC."
"July 1, 2011 - June 30, 2012","*S & L AEROSPACE METALS, LLC"
"July 1, 2011 - June 30, 2012",SUMER GOLD LTD.
"July 1, 2011 - June 30, 2012","*T.S. MANUFACTURING, INC."
"July 1, 2011 - June 30, 2012",*TRI-MART DESIGNS LTD.
"July 1, 2011 - June 30, 2012","WASTE MANAGEMENT OF NEW YORK, L.L.C."
"Jul 1, 2015 - June 30, 2016",† A&L CESSPOOL SERVICE CORP.
"Jul 1, 2015 - June 30, 2016","* AZAD WATCH NYC, INC."
"Jul 1, 2015 - June 30, 2016","BK JEWELRY CONTRACTING, INC."
"Jul 1, 2015 - June 30, 2016",BNNS CO. INC.
"Jul 1, 2015 - June 30, 2016",CINER MANUFACTURING CO. INC.
"Jul 1, 2015 - June 30, 2016",* CNV ARCHITECTURAL COATINGS INC.
"Jul 1, 2015 - June 30, 2016","† DELL’S MARASCHINO CHERRIES CO., INC."
"Jul 1, 2015 - June 30, 2016","* DIANE VON BASEDOW, INC."
"Jul 1, 2015 - June 30, 2016","EMA JEWELRY, INC."
"Jul 1, 2015 - June 30, 2016","* F. BLANCATO, LLC"
"Jul 1, 2015 - June 30, 2016",GEMBAR SETTING INC.
"Jul 1, 2015 - June 30, 2016",HALMARK ARCHITECTURAL FINISHING CORP.
"Jul 1, 2015 - June 30, 2016","* INDUSTRIAL FINISHING PRODUCTS, INC"
"Jul 1, 2015 - June 30, 2016",KYUANG M. LEE D/B/A SOLOMON JEWELRY
"Jul 1, 2015 - June 30, 2016","LGSP, INC."
"Jul 1, 2015 - June 30, 2016",* NGJ 47 INC.
"Jul 1, 2015 - June 30, 2016",† NYC DEPARTMENT OF EDUCATION
"Jul 1, 2015 - June 30, 2016",NY FINE JEWELRY DESIGN INC.
"Jul 1, 2015 - June 30, 2016","O.K.SONG JEWELRY, INC."
"Jul 1, 2015 - June 30, 2016","PERRIGO NEW YORK, INC."
"Jul 1, 2015 - June 30, 2016","PREMIER POLISHING & CONTRACTING USA, INC."
"Jul 1, 2015 - June 30, 2016","PROGRAMATIC PLATERS, INC."
"Jul 1, 2015 - June 30, 2016","RAM JEWELRY, INC."
"Jul 1, 2015 - June 30, 2016",SARKIS ELIGUR D/B/A PALA JEWELRY
"Jul 1, 2015 - June 30, 2016","TELD JEWELRY DESIGN, CORP."
"Jul 1, 2015 - June 30, 2016","* TIMELESS DESIGNS BY JACOB BRYAN, LTD"
"Jul 1, 2015 - June 30, 2016",* U.S. DEPARTMENT OF VETERANS AFFAIRS
